what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1444945130329
activated,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1444945130920
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444945143395
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444945158526
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444945159438
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444945166183
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444945171542
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444945176322
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444945182837
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444945188284
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1444945190128
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1444945191967
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444945205540
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444945209074
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1444945216111
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1444945220630
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1444945222987
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444945228894
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444945256504
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1444945259457
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1444945268276
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1444945275711
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1444945279431
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444945284225
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444945288568
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444945293319
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444945312233
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444945312854
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444945323320
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444945324277
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444945337212
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444945359633
