what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1445105658902
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445105678138
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105680461
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1445105682398
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105682420
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1445105685092
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445105689503
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105693104
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105707119
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105707529
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105730591
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105733134
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105734455
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445105735902
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445105735985
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445105736009
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445105737302
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1445105739005
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445105739554
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105740046
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105742856
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1445105744980
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1445105745527
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1445105746257
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1445105746660
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445105746964
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105747398
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105752040
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1445105754059
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445105754484
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105760644
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105760782
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105762775
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105764025
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105770082
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105770871
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105777477
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105784572
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445105791474
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105792939
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105804810
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105806434
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105807466
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105809156
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105810531
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1445105812812
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445105813494
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105813887
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105815357
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105817051
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105820104
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105820838
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105821183
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445105824081
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105835601
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105839288
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105842594
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105845861
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105847671
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105858703
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445105897879
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105906745
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105917637
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445105920100
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445105920199
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445105920223
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445105921212
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105923840
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105943703
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105944401
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105947439
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445105948262
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105949891
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1445105950137
no handler,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1445105950774
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105952589
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105955232
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445105962459
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445105962568
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445105962627
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1445105963524
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1445105963704
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445105964238
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445106025945
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106027863
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106041212
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445106043988
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445106044508
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445106044530
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445106045010
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106046223
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106050116
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445106052914
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445106053092
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445106053112
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445106055012
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445106055036
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445106056887
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445106056909
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445106057767
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445106065963
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445106067083
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445106067104
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445106067723
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1445106075368
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1445106075969
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106084249
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106084372
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106087204
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106087366
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445106088733
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106089613
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106093388
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106100501
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106101831
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1445106103432
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445106104855
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445106109752
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106111050
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106114250
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106118713
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106119347
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1445106120272
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445106122006
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106122744
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106126992
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106129095
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106129894
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1445106132441
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1445106133135
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445106134716
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106137160
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106194168
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445106199060
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445106200186
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445106200207
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445106200904
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106201304
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106203044
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106204379
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106206286
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445106209439
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106210268
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106211371
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1445106212643
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1445106213331
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445106214249
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106215465
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106216502
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106221500
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106224982
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445106228680
