what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445558732515
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1445558792033
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445558802373
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445558811603
error,log,,,"Internal Error",1445558812990
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445558815383
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445558815759
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445558816112
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1445558816309
started,bundle,org.eclipse.wst.css.core,1.1.400.v201005261534,"org.eclipse.wst.css.core",1445558816633
error,log,,,"Invalid ZIP archive: WebContent/WEB-INF/lib/hello.fm [in HelloWorldStruts2]",1445558816850
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1445558830328
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1445558833004
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445558835180
started,bundle,org.eclipse.wst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.wst.server.preview.adapter",1445558835315
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.200.v20100519,"org.eclipse.jst.server.tomcat.core",1445558877667
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1445558877678
started,bundle,org.eclipse.pde.core,3.6.0.v20100601,"org.eclipse.pde.core",1445559018478
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445559018878
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445559083373
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445559104149
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445559257766
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1445559270919
