what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1445102783801
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445102783829
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1445102785428
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445102786429
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1445102786544
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445102786573
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1445102798240
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445102798275
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1445102800704
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1445102803948
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1445102806673
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1445102808362
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1445102809604
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1445102822667
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1445102824961
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445102835600
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445102835690
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445102835872
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445102837633
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445102844039
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445102848340
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445102850636
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445102859790
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445102861081
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1445102871980
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445102886750
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445102887553
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445102896356
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445102896878
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445102906762
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445102908776
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1445102911186
