what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.datatools.sqltools.debugger.core,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.debugger.core",1445104368264
started,bundle,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v201003161000,"org.eclipse.datatools.sqltools.debugger.core.ui",1445104368265
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1445104368329
started,bundle,org.eclipse.datatools.sqltools.common.ui,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.common.ui",1445104368358
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1445104368397
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104368510
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1445104369821
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445104371615
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104372902
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104379231
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104380532
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104381357
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104382287
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104384085
started,bundle,org.eclipse.datatools.sqltools.routineeditor.ui,1.0.1.v201004060545,"org.eclipse.datatools.sqltools.routineeditor.ui",1445104385538
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445104385550
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104387464
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1445104389690
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1445104389740
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104389869
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1445104390475
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445104390922
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104391410
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104405466
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445104409654
activated,editor,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui.buildEditor",1445104409775
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445104409799
activated,editor,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui.buildEditor",1445104410521
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1445104411692
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445104412087
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104418433
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104437406
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445104439707
activated,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1445104441100
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445104441128
activated,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1445104441709
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1445104445983
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445104446466
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104452006
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104453270
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104454143
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104454462
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104454896
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104462167
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104463653
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104467059
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104475819
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104528216
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104531415
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104540924
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104541307
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104553424
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445104555228
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104558049
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104564990
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104569885
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104570065
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445104570130
