what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943004231
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1444943007941
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1444943007949
started,bundle,org.eclipse.jst.servlet.ui,1.1.400.v201005272100,"org.eclipse.jst.servlet.ui",1444943008052
started,bundle,org.eclipse.jpt.core,2.3.0.v201006020000,"org.eclipse.jpt.core",1444943008520
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1444943008550
started,bundle,org.eclipse.jst.jsp.core,1.2.300.v201005271731,"org.eclipse.jst.jsp.core",1444943012452
started,bundle,org.eclipse.jst.jee,1.0.300.v201005191301,"org.eclipse.jst.jee",1444943014946
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1444943017513
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1444943017593
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1444943018110
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1444943018571
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1444943018582
started,bundle,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.ui",1444943019097
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1444943020252
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1444943020388
started,bundle,org.eclipse.wst.xsd.core,1.1.501.v201004110600,"org.eclipse.wst.xsd.core",1444943020430
started,bundle,org.eclipse.wst.xsl.ui,1.1.0.v201004290328,"org.eclipse.wst.xsl.ui",1444943020458
started,bundle,org.eclipse.xsd,2.6.0.v20100614-1136,"org.eclipse.xsd",1444943020561
started,bundle,org.eclipse.jem.workbench,2.0.300.v200910290230,"org.eclipse.jem.workbench",1444943020614
opened,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1444943020645
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1444943020749
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1444943020824
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1444943020840
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943020867
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1444943021237
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943033775
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1444943036133
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943038449
opened,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1444943045564
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1444943045598
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943045737
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943048546
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943051180
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943052178
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943053956
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943055286
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943078289
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943079353
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943136533
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1444943136980
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1444943138892
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943154964
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943159237
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1444943160925
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1444943170271
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943171113
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943171628
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943174628
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943196592
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1444943199210
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943199422
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943201059
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943203453
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943205527
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943210494
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943354565
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943355322
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444943355465
