what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445096504408
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445096509537
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445096534568
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445096544803
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445096544943
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445096554587
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445096570616
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445096572269
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445096574071
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445096575234
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445096582740
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445096583069
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445096612754
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445096618766
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1445096618905
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445096618936
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1445096623416
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445096623444
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1445096624477
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445096624833
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445096627136
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445096628088
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445096630807
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445096633325
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445096636389
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445096640176
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445096640871
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445096643124
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445096643766
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445096644781
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445096646934
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445096648588
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445096649584
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445096650729
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445096652314
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445096654439
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445096656174
