what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1445099686585
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1445099687627
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445099688570
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445099691970
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445099697547
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PropertiesFileEditor",1445099697592
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PropertiesFileEditor",1445099697640
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445099697665
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PropertiesFileEditor",1445099698783
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445099701258
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445099702301
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445099704494
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445099705291
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445099707387
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1445099709478
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445099725191
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445099725261
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445099725295
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445099726445
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1445099732161
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445099735379
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445099737451
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445099747574
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445099750833
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445099751561
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445099759087
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445099761010
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445099762799
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445099764566
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445099766041
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445099766471
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445099767173
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445099770993
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1445099772839
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445099772879
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1445099774235
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445099774264
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445099776651
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445099783786
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1445099783908
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445099783938
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1445099786054
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445099806077
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445099807961
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445099809326
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445099813085
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445099814123
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445099814779
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445099821298
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1445099823059
